aTV_x aTV_y aTV_z / Xrot Yrot Zrot / X2 Y2 Z2
0.103750 -0.024250 -1.004000 / -5.735007 2.447997 2.906503 / -766.405273 378.327728 615.502075
0.103750 -0.024250 -1.004000 / -5.741757 2.469797 2.894078 / -772.150391 380.808411 618.389954
0.103750 -0.024250 -1.004000 / -5.748507 2.491597 2.881654 / -777.902283 383.310913 621.265381
0.103750 -0.024250 -1.004000 / -5.755257 2.513397 2.869229 / -783.660889 385.835205 624.128418
0.103750 -0.024250 -1.004000 / -5.762007 2.535197 2.856804 / -789.426270 388.381287 626.979004
0.103750 -0.024250 -1.004000 / -5.768757 2.556997 2.844379 / -795.198425 390.949188 629.817200
0.103750 -0.024250 -1.004000 / -5.775507 2.578797 2.831954 / -800.977295 393.538879 632.642944
0.103750 -0.024250 -1.004000 / -5.782258 2.600597 2.819529 / -806.762939 396.150391 635.456238
0.103750 -0.024250 -1.004000 / -5.789008 2.622397 2.807104 / -812.555298 398.783691 638.257141
0.103750 -0.024250 -1.004000 / -5.795758 2.644197 2.794679 / -818.354431 401.438782 641.045593
0.103750 -0.024250 -1.004000 / -5.802508 2.665997 2.782254 / -824.160339 404.115692 643.821655
0.103750 -0.024250 -1.004000 / -5.809258 2.687797 2.769829 / -829.972961 406.814392 646.585266
0.103750 -0.024250 -1.004000 / -5.816008 2.709597 2.757404 / -835.792358 409.534882 649.336487
0.103750 -0.024250 -1.004000 / -5.822758 2.731397 2.744979 / -841.618469 412.277191 652.075256
0.103750 -0.024250 -1.004000 / -5.829508 2.753197 2.732554 / -847.451355 415.041290 654.801575
0.103750 -0.024250 -1.004000 / -5.836258 2.774997 2.720129 / -853.291016 417.827179 657.515503
0.103750 -0.024250 -1.004000 / -5.843009 2.796797 2.707704 / -859.137390 420.634888 660.216980
0.103750 -0.024250 -1.004000 / -5.849759 2.818597 2.695279 / -864.990540 423.464386 662.906067
0.103750 -0.024250 -1.004000 / -5.856509 2.840397 2.682854 / -870.850403 426.315674 665.582703
0.103750 -0.024250 -1.004000 / -5.863259 2.862197 2.670429 / -876.717041 429.188782 668.246948
0.103750 -0.024250 -1.004000 / -5.870009 2.883997 2.658005 / -882.590454 432.083679 670.898743
0.117000 -0.025500 -1.003250 / -5.862434 2.906173 2.642205 / -888.449097 435.000946 673.533020
0.117000 -0.025500 -1.003250 / -5.854859 2.928348 2.626405 / -894.300171 437.940369 676.151550
0.117000 -0.025500 -1.003250 / -5.847284 2.950523 2.610605 / -900.143677 440.901978 678.754272
0.117000 -0.025500 -1.003250 / -5.839709 2.972698 2.594805 / -905.979614 443.885773 681.341187
0.117000 -0.025500 -1.003250 / -5.832134 2.994873 2.579005 / -911.807983 446.891724 683.912292
0.117000 -0.025500 -1.003250 / -5.824559 3.017048 2.563205 / -917.628784 449.919861 686.467590
0.117000 -0.025500 -1.003250 / -5.816984 3.039223 2.547405 / -923.441956 452.970184 689.007080
0.117000 -0.025500 -1.003250 / -5.809409 3.061398 2.531605 / -929.247559 456.042664 691.530762
0.117000 -0.025500 -1.003250 / -5.801834 3.083573 2.515805 / -935.045593 459.137329 694.038696
0.117000 -0.025500 -1.003250 / -5.794259 3.105748 2.500005 / -940.836060 462.254150 696.530823
0.117000 -0.025500 -1.003250 / -5.786684 3.127923 2.484205 / -946.618958 465.393158 699.007141
0.117000 -0.025500 -1.003250 / -5.779109 3.150098 2.468405 / -952.394287 468.554352 701.467651
0.117000 -0.025500 -1.003250 / -5.771533 3.172273 2.452605 / -958.162048 471.737701 703.912354
0.117000 -0.025500 -1.003250 / -5.763958 3.194448 2.436805 / -963.922241 474.943237 706.341248
0.117000 -0.025500 -1.003250 / -5.756383 3.216624 2.421005 / -969.674866 478.170959 708.754333
0.117000 -0.025500 -1.003250 / -5.748808 3.238799 2.405205 / -975.419861 481.420837 711.151611
0.117000 -0.025500 -1.003250 / -5.741233 3.260974 2.389405 / -981.157288 484.692902 713.533142
0.117000 -0.025500 -1.003250 / -5.733658 3.283149 2.373605 / -986.887146 487.987152 715.898865
0.117000 -0.025500 -1.003250 / -5.726083 3.305324 2.357805 / -992.609436 491.303558 718.248779
0.117000 -0.025500 -1.003250 / -5.718508 3.327499 2.342005 / -998.324158 494.642151 720.582886
0.117000 -0.025500 -1.003250 / -5.710933 3.349674 2.326205 / -1004.031311 498.002899 722.901184
0.117000 -0.025500 -1.003250 / -5.703358 3.371849 2.310405 / -1009.730896 501.385834 725.203674
0.117000 -0.025500 -1.003250 / -5.695783 3.394024 2.294605 / -1015.422913 504.790955 727.490356
0.117000 -0.025500 -1.003250 / -5.688208 3.416199 2.278805 / -1021.107361 508.218231 729.761230
0.117000 -0.025500 -1.003250 / -5.680633 3.438374 2.263005 / -1026.784180 511.667694 732.016357
0.117000 -0.025500 -1.003250 / -5.673058 3.460549 2.247205 / -1032.453491 515.139343 734.255676
0.117000 -0.025500 -1.003250 / -5.665483 3.482724 2.231405 / -1038.115234 518.633179 736.479187
0.117000 -0.025500 -1.003250 / -5.657908 3.504900 2.215605 / -1043.769409 522.149170 738.686890
0.117000 -0.025500 -1.003250 / -5.650333 3.527075 2.199805 / -1049.416016 525.687317 740.878784
0.117000 -0.025500 -1.003250 / -5.642758 3.549250 2.184005 / -1055.054932 529.247681 743.054871
